CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noAPS<HC,L_bankssts,0.06,0,-0.11,0.23,,,0.50,
noAPS<HC,L_caudalanteriorcingulate,-0.11,0,-0.28,0.06,,,0.21,
noAPS<HC,L_caudalmiddlefrontal,-0.06,0,-0.23,0.11,,,0.52,
noAPS<HC,L_cuneus,0.14,0,-0.03,0.31,,,0.10,
noAPS<HC,L_entorhinal,-0.07,0,-0.24,0.1,,,0.40,
noAPS<HC,L_fusiform,-0.03,0,-0.2,0.14,,,0.76,
noAPS<HC,L_inferiorparietal,-0.03,0,-0.2,0.14,,,0.74,
noAPS<HC,L_inferiortemporal,-0.14,0,-0.31,0.02,,,0.09,
noAPS<HC,L_isthmuscingulate,-0.04,0,-0.21,0.13,,,0.67,
noAPS<HC,L_lateraloccipital,0.02,0,-0.15,0.19,,,0.85,
noAPS<HC,L_lateralorbitofrontal,0.02,0,-0.15,0.19,,,0.81,
noAPS<HC,L_lingual,0.13,0,-0.04,0.3,,,0.14,
noAPS<HC,L_medialorbitofrontal,-0.11,0,-0.27,0.06,,,0.23,
noAPS<HC,L_middletemporal,-0.05,0,-0.22,0.12,,,0.58,
noAPS<HC,L_parahippocampal,-0.03,0,-0.19,0.14,,,0.77,
noAPS<HC,L_paracentral,0.03,0,0.14,0.2,,,0.76,
noAPS<HC,L_parsopercularis,0.06,0,-0.11,0.23,,,0.51,
noAPS<HC,L_parsorbitalis,0.04,0,-0.13,0.21,,,0.66,
noAPS<HC,L_parstriangularis,0,0,-0.17,0.17,,,0.98,
noAPS<HC,L_pericalcarine,0.20,0,0.03,0.37,,,0.02,
noAPS<HC,L_postcentral,-0.11,0,-0.28,0.06,,,0.22,
noAPS<HC,L_posteriorcingulate,-0.07,0,-0.24,0.1,,,0.44,
noAPS<HC,L_precentral,-0.06,0,-0.23,0.11,,,0.49,
noAPS<HC,L_precuneus,0.11,0,-0.06,0.28,,,0.22,
noAPS<HC,L_rostralanteriorcingulate,-0.13,0,-0.3,0.04,,,0.14,
noAPS<HC,L_rostralmiddlefrontal,-0.07,0,-0.24,0.1,,,0.43,
noAPS<HC,L_superiorfrontal,-0.03,0,-0.2,0.14,,,0.71,
noAPS<HC,L_superiorparietal,0.03,0,-0.14,0.2,,,0.71,
noAPS<HC,L_superiortemporal,-0.04,0,-0.21,0.13,,,0.63,
noAPS<HC,L_supramarginal,-0.09,0,-0.26,0.07,,,0.28,
noAPS<HC,L_frontalpole,0.06,0,-0.11,0.23,,,0.49,
noAPS<HC,L_temporalpole,-0.06,0,-0.23,0.11,,,0.47,
noAPS<HC,L_transversetemporal,-0.05,0,-0.22,0.12,,,0.59,
noAPS<HC,L_insula,-0.16,0,-0.33,0.01,,,0.06,
noAPS<HC,R_bankssts,-0.06,0,-0.23,0.11,,,0.46,
noAPS<HC,R_caudalanteriorcingulate,0.06,0,-0.11,0.23,,,0.47,
noAPS<HC,R_caudalmiddlefrontal,0.06,0,-0.11,0.23,,,0.48,
noAPS<HC,R_cuneus,0.10,0,-0.07,0.27,,,0.23,
noAPS<HC,R_entorhinal,-0.13,0,-0.3,0.04,,,0.14,
noAPS<HC,R_fusiform,-0.04,0,-0.21,0.13,,,0.61,
noAPS<HC,R_inferiorparietal,0.06,0,-0.11,0.23,,,0.51,
noAPS<HC,R_inferiortemporal,-0.14,0,-0.31,0.03,,,0.10,
noAPS<HC,R_isthmuscingulate,-0.03,0,-0.21,0.14,,,0.69,
noAPS<HC,R_lateraloccipital,-0.12,0,-0.29,0.06,,,0.19,
noAPS<HC,R_lateralorbitofrontal,0.04,0,-0.13,0.21,,,0.67,
noAPS<HC,R_lingual,0.07,0,-0.1,0.24,,,0.43,
noAPS<HC,R_medialorbitofrontal,0,0,-0.16,0.17,,,0.96,
noAPS<HC,R_middletemporal,-0.10,0,-0.27,0.07,,,0.27,
noAPS<HC,R_parahippocampal,-0.01,0,-0.18,0.16,,,0.93,
noAPS<HC,R_paracentral,0.08,0,-0.09,0.25,,,0.34,
noAPS<HC,R_parsopercularis,0.01,0,-0.16,0.18,,,0.89,
noAPS<HC,R_parsorbitalis,-0.08,0,-0.25,0.09,,,0.37,
noAPS<HC,R_parstriangularis,0.01,0,-0.17,0.18,,,0.95,
noAPS<HC,R_pericalcarine,0.22,0,0.05,0.39,,,0.01,
noAPS<HC,R_postcentral,-0.07,0,-0.24,0.1,,,0.44,
noAPS<HC,R_posteriorcingulate,-0.07,0,-0.24,0.1,,,0.44,
noAPS<HC,R_precentral,0.03,0,-0.14,0.2,,,0.75,
noAPS<HC,R_precuneus,-0.07,0,-0.24,0.1,,,0.43,
noAPS<HC,R_rostralanteriorcingulate,-0.02,0,-0.19,0.15,,,0.83,
noAPS<HC,R_rostralmiddlefrontal,-0.09,0,-0.26,0.08,,,0.32,
noAPS<HC,R_superiorfrontal,0.02,0,-0.15,0.19,,,0.78,
noAPS<HC,R_superiorparietal,0.07,0,-0.1,0.24,,,0.42,
noAPS<HC,R_superiortemporal,-0.20,0,-0.37,-0.03,,,0.02,
noAPS<HC,R_supramarginal,-0.04,0,-0.21,0.13,,,0.66,
noAPS<HC,R_frontalpole,-0.05,0,-0.22,0.12,,,0.58,
noAPS<HC,R_temporalpole,-0.04,0,-0.2,0.13,,,0.69,
noAPS<HC,R_transversetemporal,-0.14,0,-0.31,0.03,,,0.10,
noAPS<HC,R_insula,-0.15,0,-0.32,0.02,,,0.08,
