SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<noGRD,L_bankssts,-0.04,,-0.17,0.1,,,0.59,
GRD<noGRD,L_caudalanteriorcingulate,0.03,,-0.1,0.17,,,0.64,
GRD<noGRD,L_caudalmiddlefrontal,0.01,,-0.12,0.15,,,0.84,
GRD<noGRD,L_cuneus,0.06,,-0.08,0.19,,,0.40,
GRD<noGRD,L_entorhinal,0.06,,-0.08,0.19,,,0.42,
GRD<noGRD,L_fusiform,-0.09,,-0.22,0.05,,,0.22,
GRD<noGRD,L_inferiorparietal,-0.03,,-0.16,0.11,,,0.71,
GRD<noGRD,L_inferiortemporal,-0.04,,-0.17,0.1,,,0.57,
GRD<noGRD,L_isthmuscingulate,0.05,,-0.09,0.19,,,0.47,
GRD<noGRD,L_lateraloccipital,-0.12,,-0.26,0.02,,,0.08,
GRD<noGRD,L_lateralorbitofrontal,0.02,,-0.12,0.15,,,0.79,
GRD<noGRD,L_lingual,0,,-0.14,0.14,,,0.99,
GRD<noGRD,L_medialorbitofrontal,-0.03,,-0.16,0.11,,,0.70,
GRD<noGRD,L_middletemporal,-0.03,,-0.16,0.11,,,0.69,
GRD<noGRD,L_parahippocampal,-0.05,,-0.19,0.08,,,0.46,
GRD<noGRD,L_paracentral,0.04,,-0.09,0.18,,,0.53,
GRD<noGRD,L_parsopercularis,0.07,,-0.06,0.21,,,0.28,
GRD<noGRD,L_parsorbitalis,0.03,,-0.11,0.16,,,0.69,
GRD<noGRD,L_parstriangularis,0.14,,0.01,0.28,,,0.04,
GRD<noGRD,L_pericalcarine,0.02,,-0.12,0.16,,,0.78,
GRD<noGRD,L_postcentral,-0.09,,-0.23,0.05,,,0.19,
GRD<noGRD,L_posteriorcingulate,0.01,,-0.13,0.14,,,0.91,
GRD<noGRD,L_precentral,-0.02,,-0.16,0.11,,,0.76,
GRD<noGRD,L_precuneus,-0.04,,-0.17,0.1,,,0.61,
GRD<noGRD,L_rostralanteriorcingulate,0.03,,-0.11,0.16,,,0.71,
GRD<noGRD,L_rostralmiddlefrontal,-0.02,,-0.16,0.11,,,0.74,
GRD<noGRD,L_superiorfrontal,0.11,,-0.03,0.25,,,0.11,
GRD<noGRD,L_superiorparietal,0.0,,-0.11,0.16,,,0.73,
GRD<noGRD,L_superiortemporal,-0.04,,-0.18,0.1,,,0.57,
GRD<noGRD,L_supramarginal,-0.08,,-0.21,0.06,,,0.28,
GRD<noGRD,L_frontalpole,-0.02,,-0.16,0.12,,,0.77,
GRD<noGRD,L_temporalpole,-0.14,,-0.28,-0.01,,,0.04,
GRD<noGRD,L_transversetemporal,0,,-0.14,0.14,,,0.99,
GRD<noGRD,L_insula,0.03,,-0.11,0.17,,,0.67,
GRD<noGRD,R_bankssts,-0.14,,-0.28,-0.01,,,0.04,
GRD<noGRD,R_caudalanteriorcingulate,0.02,,-0.12,0.16,,,0.77,
GRD<noGRD,R_caudalmiddlefrontal,0.09,,-0.05,0.22,,,0.22,
GRD<noGRD,R_cuneus,-0.02,,-0.16,0.12,,,0.78,
GRD<noGRD,R_entorhinal,0.11,,-0.03,0.24,,,0.13,
GRD<noGRD,R_fusiform,-0.02,,-0.16,0.12,,,0.77,
GRD<noGRD,R_inferiorparietal,-0.18,,-0.32,-0.05,,,8.64E-03,
GRD<noGRD,R_inferiortemporal,-0.10,,-0.23,0.04,,,0.17,
GRD<noGRD,R_isthmuscingulate,0.03,,-0.11,0.16,,,0.68,
GRD<noGRD,R_lateraloccipital,0.02,,-0.12,0.16,,,0.78,
GRD<noGRD,R_lateralorbitofrontal,0.07,,-0.07,0.2,,,0.34,
GRD<noGRD,R_lingual,-0.04,,-0.17,0.1,,,0.60,
GRD<noGRD,R_medialorbitofrontal,-0.06,,-0.2,0.07,,,0.37,
GRD<noGRD,R_middletemporal,-0.08,,-0.22,0.05,,,0.25,
GRD<noGRD,R_parahippocampal,-0.02,,-0.16,0.11,,,0.75,
GRD<noGRD,R_paracentral,0.10,,-0.04,0.24,,,0.15,
GRD<noGRD,R_parsopercularis,0.10,,-0.03,0.24,,,0.14,
GRD<noGRD,R_parsorbitalis,-0.01,,-0.14,0.13,,,0.92,
GRD<noGRD,R_parstriangularis,0.01,,-0.12,0.15,,,0.84,
GRD<noGRD,R_pericalcarine,0.02,,-0.12,0.15,,,0.80,
GRD<noGRD,R_postcentral,0.03,,-0.11,0.16,,,0.68,
GRD<noGRD,R_posteriorcingulate,-0.04,,-0.17,0.1,,,0.60,
GRD<noGRD,R_precentral,-0.01,,-0.15,0.12,,,0.83,
GRD<noGRD,R_precuneus,-0.01,,-0.14,0.13,,,0.94,
GRD<noGRD,R_rostralanteriorcingulate,0.06,,-0.08,0.19,,,0.40,
GRD<noGRD,R_rostralmiddlefrontal,-0.12,,-0.25,0.02,,,0.09,
GRD<noGRD,R_superiorfrontal,0.09,,-0.05,0.22,,,0.21,
GRD<noGRD,R_superiorparietal,-0.12,,-0.25,0.02,,,0.09,
GRD<noGRD,R_superiortemporal,-0.02,,-0.15,0.12,,,0.79,
GRD<noGRD,R_supramarginal,0,,-0.13,0.14,,,0.97,
GRD<noGRD,R_frontalpole,0,,-0.14,0.13,,,0.96,
GRD<noGRD,R_temporalpole,0.08,,-0.06,0.21,,,0.27,
GRD<noGRD,R_transversetemporal,-0.01,,-0.14,0.13,,,0.94,
GRD<noGRD,R_insula,-0.01,,-0.15,0.12,,,0.86,
